"","X","originalid","originaltraitname","originaltraitdef","standardisedtraitname","standardisedtraitdef","originaltraitvalue","originaltraitunit","originalerrorpos","originalerrorneg","originalerrorunit","standardisedtraitvalue","standardisedtraitunit","standardisederrorpos","standardisederrorneg","standardisederrorunit","replicates","habitat","labfield","arenavalue","arenaunit","arenavaluesi","arenaunitsi","ambienttemp","ambienttempmethod","ambienttempunit","ambientlight","ambientlightunit","secondstressor","secondstressordef","secondstressorvalue","secondstressorunit","timestart","timeend","totalobstimevalue","totalobstimeunit","totalobstimevaluesi","totalobstimeunitsi","totalobstimenotes","resrepvalue","resrepunit","resrepvaluesi","resrepunitsi","location","locationtype","originallocationdate","locationdate","locationdateprecision","coordinatetype","latitude","longitude","interactor1","interactor1common","interactor1wholepart","interactor1wholeparttype","interactor1number","interactor1kingdom","interactor1phylum","interactor1class","interactor1order","interactor1family","interactor1genus","interactor1species","interactor1stage","interactor1temp","interactor1tempunit","interactor1tempmethod","interactor1growthtemp","interactor1growthtempunit","interactor1growthdur","interactor1growthdurunit","interactor1growthtype","interactor1acc","interactor1acctemp","interactor1acctempnotes","interactor1acctime","interactor1acctimenotes","interactor1acctimeunit","interactor1origtemp","interactor1origtempnotes","interactor1origtime","interactor1origtimenotes","interactor1origtimeunit","interactor1equilibtimevalue","interactor1equilibtimeunit","interactor1size","interactor1sizeunit","interactor1sizetype","interactor1sizesi","interactor1sizeunitsi","interactor1denvalue","interactor1denunit","interactor1dentypesi","interactor1denvaluesi","interactor1denunitsi","interactor1massvaluesi","interactor1massunitsi","interactor2","interactor2common","interactor2kingdom","interactor2phylum","interactor2class","interactor2order","interactor2family","interactor2genus","interactor2species","interactor2stage","interactor2temp","interactor2tempunit","interactor2tempmethod","interactor2growthtemp","interactor2growthtempunit","interactor2growthdur","interactor2growthdurunit","interactor2growthtype","interactor2acc","interactor2acctemp","interactor2acctempnotes","interactor2acctime","interactor2acctimenotes","interactor2acctimeunit","interactor2origtemp","interactor2origtempnotes","interactor2origtime","interactor2origtimenotes","interactor2origtimeunit","interactor2equilibtimevalue","interactor2equilibtimeunit","interactor2size","interactor2sizeunit","interactor2sizetype","interactor2sizesi","interactor2sizeunitsi","interactor2denvalue","interactor2denunit","interactor2dentypesi","interactor2denvaluesi","interactor2denunitsi","interactor2massvaluesi","interactor2massunitsi","physicalprocess","physicalprocess_1","physicalprocess_2","figuretable","citation","doi","submittedby","contributoremail","notes","VecMismatchID"
"833",13135,"csm1B","Mortality Rate","",NA,NA,0.16173,"1/days",0.01287,0.01287,"1/days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Marìlia, Sa_ Paulo State, Brazil",NA,NA,"16/08/2002",5,NA,NA,NA,"Aedes aegypti","","","","","","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.","10.1017/S0950268809002040","Cera Mai","csm417@ic.ac.uk","Aquatic Phase",1
"834",14131,"csm1B","Mortality Rate","",NA,NA,0.09729,"1/days",0.01738,0.01738,"1/days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Marìlia, Sa_ Paulo State, Brazil",NA,NA,"21/01/2004",5,NA,NA,NA,"Aedes aegypti","","","","","","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.","10.1017/S0950268809002040","Cera Mai","csm417@ic.ac.uk","Aquatic Phase",1
"835",15625,"csm1B","Mortality Rate","",NA,NA,0.0817,"1/days",0.00658,0.00658,"1/days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Marìlia, Sa_ Paulo State, Brazil",NA,NA,"21/01/2004",5,NA,NA,NA,"Aedes aegypti","","","","","","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.","10.1017/S0950268809002040","Cera Mai","csm417@ic.ac.uk","Aquatic Phase",1
"836",16100,"csm1B","Mortality Rate","",NA,NA,0.22253,"1/days",0.0062,0.0062,"1/days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Marìlia, Sa_ Paulo State, Brazil",NA,NA,"21/01/2004",5,NA,NA,NA,"Aedes aegypti","","","","","","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.","10.1017/S0950268809002040","Cera Mai","csm417@ic.ac.uk","Aquatic Phase",1
"837",1710,"csm1B","Mortality Rate","",NA,NA,0.46886,"1/days",0.2447,0.2447,"1/days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.38,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Marìlia, Sa_ Paulo State, Brazil",NA,NA,"21/01/2004",5,NA,NA,NA,"Aedes aegypti","","","","","","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.","10.1017/S0950268809002040","Cera Mai","csm417@ic.ac.uk","Aquatic Phase",1
"838",1810,"csm1B","Mortality Rate","",NA,NA,0.17455,"1/days",0.00479,0.00479,"1/days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.45,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Marìlia, Sa_ Paulo State, Brazil",NA,NA,"21/01/2004",5,NA,NA,NA,"Aedes aegypti","","","","","","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.","10.1017/S0950268809002040","Cera Mai","csm417@ic.ac.uk","Aquatic Phase",1
"839",1910,"csm1B","Mortality Rate","",NA,NA,0.20706,"1/days",0.01516,0.01516,"1/days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.45,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Marìlia, Sa_ Paulo State, Brazil",NA,NA,"21/01/2004",5,NA,NA,NA,"Aedes aegypti","","","","","","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.","10.1017/S0950268809002040","Cera Mai","csm417@ic.ac.uk","Aquatic Phase",1
"840",2010,"csm1B","Mortality Rate","",NA,NA,0.02087,"1/days",0.00127,0.00127,"1/days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.74,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Marìlia, Sa_ Paulo State, Brazil",NA,NA,"21/01/2004",5,NA,NA,NA,"Aedes aegypti","","","","","","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.","10.1017/S0950268809002040","Cera Mai","csm417@ic.ac.uk","Aquatic Phase",1
"841",211000,"csm1B","Mortality Rate","",NA,NA,0.02344,"1/days",0.00115,0.00115,"1/days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.84,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Marìlia, Sa_ Paulo State, Brazil",NA,NA,"21/01/2004",5,NA,NA,NA,"Aedes aegypti","","","","","","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.","10.1017/S0950268809002040","Cera Mai","csm417@ic.ac.uk","Aquatic Phase",1
"842",221000,"csm1B","Mortality Rate","",NA,NA,0.01809,"1/days",0.00116,0.00116,"1/days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.92,NA,"celcius",NA,NA,NA,NA,NA,"",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,"Marìlia, Sa_ Paulo State, Brazil",NA,NA,"21/01/2004",5,NA,NA,NA,"Aedes aegypti","","","","","","Arthropoda","Insecta","Diptera","Culicidae","Aedes","aegypti","Adult",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yang, H. M., et al. ""Assessing the effects of temperature on the population of Aedes aegypti, the vector of dengue."" Epidemiology & Infection 137.8 (2009): 1188-1202.","10.1017/S0950268809002040","Cera Mai","csm417@ic.ac.uk","Aquatic Phase",1
