Date,Time,Treatment,Block,Donor,Female,Feed,Size,Laid,Count,Dead,Day
6/8/2016,8:40 AM,16,2,3,181,0,,0,,0,0
6/9/2016,10:25:00 AM,16,2,3,181,1,,0,,0,1
6/10/2016,9:10:00 AM,16,2,3,181,0,,0,,0,2
6/11/2016,10:15:00 AM,16,2,3,181,0,,0,,0,3
6/12/2016,11:35 AM,16,2,3,181,0,,0,,0,4
6/13/2016,1:10 PM,16,2,3,181,0,,0,,0,5
6/14/2016,12:30:00 PM,16,2,3,181,1,partial,0,,0,6
6/15/2016,11:50 AM,16,2,3,181,0,,0,,0,7
6/16/2016,1:00:00 PM,16,2,3,181,0,,0,,0,8
6/17/2016,1:26:00 PM,16,2,3,181,0,,0,,0,9
6/18/2016,10:40 AM,16,2,3,181,0,,0,,0,10
6/19/2016,1:45 PM,16,2,3,181,0,,0,,0,11
6/20/2016,1:40 PM,16,2,3,181,0,,0,,0,12
6/21/2016,10:15:00 AM,16,2,3,181,1,full,0,,0,13
6/22/2016,9:15 AM,16,2,3,181,0,,0,,0,14
6/23/2016,11:20:00 AM,16,2,3,181,0,,0,,0,15
6/24/2016,1:10:00 PM,16,2,3,181,0,,1,94,0,16
6/25/2016,11:00 AM,16,2,3,181,1,full,0,,0,17
6/26/2016,1:50:00 PM,16,2,3,181,0,,0,,0,18
6/27/2016,10:35:00 AM,16,2,3,181,0,,0,,0,19
6/28/2016,12:05 PM,16,2,3,181,0,,0,,0,20
6/29/2016,10:50:00 AM,16,2,3,181,0,,0,,0,21
6/30/2016,12:10:00 PM,16,2,3,181,0,,0,,0,22
7/1/2016,12:45:00 PM,16,2,3,181,1,full,0,,0,23
7/2/2016,4:15:00 PM,16,2,3,181,0,,1,41,0,24
7/3/2016,8:10 AM,16,2,3,181,1,partial,1,14,0,25
7/4/2016,9:05 AM,16,2,3,181,0,,0,,0,26
7/5/2016,11:00 AM,16,2,3,181,1,full,0,,0,27
7/6/2016,10:45:00 AM,16,2,3,181,0,,0,,0,28
